
2024-08-19 22:40:08.621 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2024-08-19 22:40:08.643 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path '/'
2024-08-19 22:40:08.651 [main] INFO  c.w.v.common.CommonApplication - Started CommonApplication in 2.037 seconds (process running for 3.043)
2024-08-19 22:40:41.307 [main] INFO  c.w.v.common.CommonApplication - Starting CommonApplication using Java 17.0.11 with PID 32236 (C:\Users\vamuhong\Documents\Formation 2023\backend\common\target\classes started by vamuhong in C:\Users\vamuhong\Documents\Formation 2023\backend\common)
2024-08-19 22:40:41.310 [main] INFO  c.w.v.common.CommonApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-19 22:40:42.422 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
2024-08-19 22:40:42.437 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2024-08-19 22:40:42.439 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-08-19 22:40:42.439 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-19 22:40:42.530 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-08-19 22:40:42.531 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1158 ms
2024-08-19 22:40:42.960 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2024-08-19 22:40:42.988 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path '/'
2024-08-19 22:40:42.999 [main] INFO  c.w.v.common.CommonApplication - Started CommonApplication in 2.675 seconds (process running for 3.819)
